대여소번호,대여소명,전체 이용건수,평일출근이용건수,평일퇴근이용건수,주말이용건수,평일출근비중,평일퇴근비중,주말비중
2721,2721.등촌1-10단지 교차로,62188,15675,13075,11807,0.25205827490834243,0.21024956583263651,0.18985978002186918
5891,5891.한강버스 여의도 선착장,61488,837,10765,26264,0.013612412177985948,0.17507481134530314,0.42714025500910746
5082,5082. 가양역 7번출구,61448,8444,15373,13459,0.13741700299440177,0.2501790131493295,0.219030725165994
2620,2620. 송파나루역 4번 출구옆,61183,8321,10639,17390,0.1360018305738522,0.173888171550921,0.28422927937498976
529,529. 장한평역 8번 출구 앞,60925,15391,13523,10446,0.2526220763233484,0.22196142798522775,0.17145670906852686
1050,1050.  둔촌역 3번 출입구,60119,8242,10510,15189,0.13709476205525709,0.17481994045143798,0.25264891298923803
113,113. 홍대입구역 2번출구 앞,59869,7195,16839,13647,0.12017905760911322,0.2812640932703068,0.22794768578062102
1906,1906. 신도림역 1번 출구 앞,59498,13084,15252,13357,0.21990655148072205,0.25634475108407007,0.2244949410064204
1151,1151. 마곡역1번출구,59399,10580,14417,12449,0.1781174767251974,0.2427145238135322,0.2095826529066146
5858,5858. 영등포역5번출구,59215,11977,9522,15584,0.20226294013341214,0.16080385037574937,0.26317655999324496
3534,3534. 건대입구역 5번출구 뒤,58808,6405,10722,15939,0.10891375323085295,0.1823221330431234,0.27103455312202424
5153,5153.한강버스 뚝섬 선착장,58351,1188,10327,23905,0.020359548251101096,0.17698068584942847,0.40967592671933645
508,508. 성수아카데미타워 앞,57587,14798,14242,9182,0.2569677184086686,0.24731276156076892,0.15944570823276086
1009,1009. 천호역4번출구(현대백화점),57506,4566,14003,16393,0.0794004103919591,0.24350502556255,0.28506590616631305
1867,1867.대륭포스트타워6차 앞,56544,10846,20542,7516,0.1918152235427278,0.36329230333899265,0.13292303338992642
2717,2717.LG유플러스 마곡사옥,56514,4110,27175,4611,0.07272534239303535,0.4808543015889868,0.08159040237817178
1222,1222. 잠실새내역 5번 출구 뒤,55811,5087,10775,15798,0.09114690652380356,0.19306229954668436,0.2830624787228324
781,781.신정보도육교 아래,55742,15176,7785,13542,0.27225431452046933,0.139661296688314,0.24294069104086685
3518,3518. 군자역 7번출구뒤,55695,10080,11586,12530,0.1809857258281713,0.20802585510368973,0.2249753119669629
1625,1625. 상계역 3번출구,55091,8151,9421,13974,0.1479552013940571,0.17100796863371512,0.25365304677715056
4574,4574. 영등포시장역 포레나영등포,54936,9107,11367,13210,0.16577471967380225,0.206913499344692,0.24046162807630697
1112,1112. 마곡엠밸리4단지 정문,54666,7179,11168,13018,0.13132477225332015,0.2042951743313943,0.23813705045183478
1152,1152. 마곡역교차로,54446,7831,14814,10355,0.14383058443228153,0.2720861036623443,0.19018844359548912
4543,4543. 오목교역 6번 출구,53602,6509,12880,13489,0.1214320361180553,0.24028954143502107,0.2516510577963509
2739,2739.수명산파크1단지교차로,53373,15205,6973,11926,0.28488186910984953,0.13064658160493134,0.2234463118055946
4457,4457. 아산병원 기숙사 부근,53097,3544,15640,8567,0.06674576718082001,0.294555247942445,0.16134621541706687
726,726. 목동3단지 시내버스정류장,52964,11717,7617,13247,0.22122573823729325,0.14381466656596933,0.25011328449512876
585,585. 성수2가1동 공영주차장 인근,52416,8506,9680,14369,0.16227869352869354,0.1846764346764347,0.2741338522588523
797,797.목동아파트 1422동 1434동 사잇길,52209,11270,8009,13515,0.21586316535463235,0.15340267003773295,0.258863414353847
708,708. 서울출입국관리사무소 앞,52154,7270,10462,12530,0.13939486904168424,0.20059822832381025,0.24025002876097712
5784,5784.한강버스 잠실 선착장,51916,1625,7522,24040,0.03130056244702982,0.14488789583172818,0.4630557053702134
1019,1019. 다성이즈빌아파트(호원대 대각선 맞은편),51646,10806,8355,12228,0.20923207992874568,0.16177438717422452,0.2367656740115401
3569,3569.건대병원후문,51584,7456,9348,11168,0.1445409429280397,0.18121898263027295,0.21650124069478907
4571,4571. 문래동롯데캐슬아파트,51277,12442,9487,11654,0.2426429003256821,0.1850147239503091,0.2272753866255826
1158,1158. 가양역 8번출구,51228,7541,11021,11453,0.14720465370500507,0.2151362536113063,0.2235691418755368
1190,1190. 마곡역 교차로(2번출구),51145,6189,13143,11983,0.12100889627529572,0.25697526639945256,0.23429465245869585
770,770.목동역5번출구,50444,7563,11630,9877,0.1499286337324558,0.23055269209420348,0.1958012845928158
1078,1078.둔촌사거리,49945,7191,7127,15458,0.14397837621383522,0.14269696666332965,0.3095004504955451
5781,5781. 올림픽공원 수영장,49519,7562,6366,11436,0.1527090611684404,0.12855671560411155,0.2309416587572447
4561,4561. 양평역 1번출구,49418,12586,10463,9897,0.254684527904812,0.21172447286413856,0.20027115625885306
3780,3780. 등촌서광아파트,49309,11197,7758,11903,0.22707822101441927,0.1573343608671845,0.2413960940193474
240,240. 문래역 4번출구 앞,48986,10085,10930,10452,0.2058751480014698,0.2231249744825052,0.21336708447311475
1020,1020. 강동경찰서,48978,9883,7768,9830,0.20178447466209318,0.1586018212258565,0.20070235615990853
1925,1925. 동양미래대학교 정문 옆,48965,6598,7521,13120,0.13474931073215562,0.15359950985397733,0.26794649239252527
5651,5651.한강버스 옥수 선착장,48408,1843,9067,19084,0.03807221946785655,0.18730375144604197,0.3942323582878863
1167,1167. 마곡수명산파크3단지 교차로,48269,11927,7364,11482,0.2470944084194825,0.15256168555387517,0.2378752408378048
1601,1601. 석계역 문화광장 내 자전거 보관소,48192,4709,10508,11461,0.0977133134130146,0.2180444887118194,0.2378195551128818
3681,3681. 길동 마루빌딩,48138,5784,8213,13375,0.12015455565249906,0.17061365241597076,0.27784702314180065
207,207. 여의나루역 1번출구 앞,47872,4473,11375,15189,0.09343666443850267,0.23761280080213903,0.3172835895721925
209,209. 유진투자증권빌딩 앞,47705,2420,17419,11453,0.05072843517451001,0.3651399224399958,0.24007965622052196
