대여소번호,대여소명,건수통일_클러스터,비중통일_클러스터,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"1308","1308. 안암로터리 버스정류장 앞",Group 1,Group 3,33562,1404,7339,8313,4.18%,21.87%,24.77%
"296","296.KT플라자 영등포점",Group 1,Group 1,33379,6709,5403,8172,20.10%,16.19%,24.48%
"5752","5752. 풍납백제문화공원 옆 인근",Group 1,Group 1,33268,6897,3929,9712,20.73%,11.81%,29.19%
"2718","2718.마곡수명산파크1단지",Group 1,Group 4,33237,9943,3745,7148,29.92%,11.27%,21.51%
"3570","3570.구의역 리버비스타 오피스텔",Group 1,Group 3,33180,3043,5782,9421,9.17%,17.43%,28.39%
"415","415. DMC역 9번출구 앞",Group 1,Group 1,33134,6802,8978,5342,20.53%,27.10%,16.12%
"206","206. KBS 앞",Group 1,Group 2,33082,2444,11205,7233,7.39%,33.87%,21.86%
"1662","1662. 노원역7번출구",Group 1,Group 3,33003,1426,8775,8606,4.32%,26.59%,26.08%
"3536","3536. 중앙농협(자양동)",Group 1,Group 1,32978,6604,4514,8978,20.03%,13.69%,27.22%
"3410","3410.종로3가역 8번출구",Group 1,Group 1,32846,4513,7212,5406,13.74%,21.96%,16.46%
"2745","2745.수명초등학교",Group 1,Group 4,32843,10857,3387,6085,33.06%,10.31%,18.53%
"735","735. 영도초등학교",Group 1,Group 1,32826,7144,4220,9052,21.76%,12.86%,27.58%
"1193","1193. 마곡센트럴타워 1차",Group 1,Group 2,32767,1045,10278,5738,3.19%,31.37%,17.51%
"1163","1163. 방화동강서기동대앞",Group 1,Group 1,32744,7729,4229,7724,23.60%,12.92%,23.59%
"1655","1655. 공릉1단지아파트",Group 1,Group 1,32689,6022,4251,8396,18.42%,13.00%,25.68%
"3504","3504. 원일교회",Group 1,Group 1,32489,4552,4519,9216,14.01%,13.91%,28.37%
"1111","1111. 마곡엠밸리6_7단지 마곡중학교",Group 1,Group 1,32457,4876,4888,8886,15.02%,15.06%,27.38%
"4382","4382. 페코텍글로벌허브빌딩 앞",Group 1,Group 4,32387,8554,7281,4414,26.41%,22.48%,13.63%
"514","514. 성수사거리 버스정류장 앞",Group 1,Group 1,32316,4476,7590,6318,13.85%,23.49%,19.55%
"4179","4179. 보라매병원역 1번출구",Group 1,Group 3,32314,2425,6343,9469,7.50%,19.63%,29.30%
"183","183. 하늘채코오롱아파트 건너편",Group 1,Group 1,32099,6686,5117,7955,20.83%,15.94%,24.78%
"3868","3868. 자양한강도서관",Group 1,Group 1,32039,7425,4672,8381,23.17%,14.58%,26.16%
"2611","2611. 송파지역자활센터 뒤",Group 1,Group 4,32011,10121,3927,7678,31.62%,12.27%,23.99%
"1218","1218. 방이역 4번출구",Group 1,Group 3,31988,2691,6270,9586,8.41%,19.60%,29.97%
"747","747. 목동3단지 상가",Group 1,Group 3,31970,3353,5323,10113,10.49%,16.65%,31.63%
"4864","4864. 송파사거리",Group 1,Group 3,31967,3288,5883,8322,10.29%,18.40%,26.03%
"1208","1208. 풍납현대아파트쉼터",Group 1,Group 1,31931,5758,5669,7770,18.03%,17.75%,24.33%
"1162","1162. 공항초등학교건너편",Group 1,Group 4,31900,7710,4469,8382,24.17%,14.01%,26.28%
"2632","2632.석촌고분역 2번 출구",Group 1,Group 1,31895,5039,5046,9019,15.80%,15.82%,28.28%
"1986","1986. 태평양물산",Group 1,Group 2,31892,1150,14820,4255,3.61%,46.47%,13.34%
"1244","1244. 문정 법조단지8",Group 1,Group 3,31879,3549,5473,9480,11.13%,17.17%,29.74%
"1077","1077.강동역 1번출구 앞",Group 1,Group 1,31858,6170,5355,7248,19.37%,16.81%,22.75%
"1013","1013. 강동구청역 1번 출입구",Group 1,Group 1,31786,5276,7048,6811,16.60%,22.17%,21.43%
"3582","3582.화양동 우체국",Group 1,Group 1,31740,6722,4560,7272,21.18%,14.37%,22.91%
