대여소번호,대여소명,전체 이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"729","729. 서부식자재마트 건너편",19690,27.94%,15.08%,24.41%
"3656","3656. 둔촌푸르지오아파트",19667,15.12%,14.89%,27.89%
"1602","1602. 광운대역 앞",19639,9.21%,17.44%,24.98%
"3627","3627. 압구정나들목",19632,4.06%,18.78%,40.15%
"1994","1994. 삼성전자 물류센터 앞",19630,30.98%,15.59%,24.04%
"4820","4820. 망우역 2번 출구",19605,23.87%,16.57%,21.75%
"4087","4087. 우이교 교차로",19579,8.30%,13.98%,32.00%
"3422","3422.성균관대 정문",19576,16.49%,14.12%,23.57%
"3927","3927. 구로월드아파트 앞",19575,13.81%,28.35%,17.80%
"5091","5091. 보타닉파크타워2",19571,4.10%,33.66%,14.99%
"2740","2740.마곡레포츠센터",19564,15.20%,20.19%,15.32%
"1692","1692. 온곡초교 교차로",19524,9.60%,17.53%,26.65%
"4964","4964.암사역사공원역 1번출구 A",19460,19.42%,31.13%,16.50%
"119","119. 서강나루 공원",19457,15.38%,14.82%,29.27%
"657","657. 동대문롯데캐슬아파트 앞",19439,24.81%,12.16%,24.43%
"678","678.장안힐스테이트(아) 앞",19419,15.28%,18.18%,23.73%
"3975","3975.현대시티아울렛 가산",19410,20.49%,22.24%,21.41%
"2384","2384. 자곡사거리",19400,26.48%,15.17%,23.68%
"1959","1959. 구로구의회 앞",19397,18.21%,21.05%,21.28%
"385","385. 종각역 5번출구",19391,8.74%,29.83%,19.44%
"4841","4841. 중화수경공원",19382,16.09%,13.49%,29.90%
"4859","4859. 잠실나루 나들목",19362,10.65%,16.19%,36.58%
"1962","1962. 가리봉동주민센터",19322,19.15%,29.70%,12.64%
"4387","4387. 성수역 1번출구 주변",19286,6.09%,33.98%,21.02%
"841","841. 신용산역 1번 출구",19280,3.78%,26.23%,28.53%
"4906","4906. 섬유센터 앞",19272,9.09%,30.50%,20.10%
"1708","1708. 도봉보건소사거리",19190,13.10%,16.32%,23.82%
"2230","2230.이수역 4번 출구",19188,12.85%,20.79%,23.28%
"3811","3811.신사로입구",19170,24.83%,11.89%,26.80%
"5084","5084. 강서우체국",19165,19.80%,20.77%,20.03%
"221","221. 여의도초교 앞",19128,14.54%,19.08%,28.25%
"4824","4824. 상봉신협 앞",19109,26.65%,12.13%,26.37%
"563","563. 성동세무서 건너편",19101,11.28%,44.13%,10.09%
"5890","5890.여의나루역 3번출구",19097,9.58%,19.98%,37.66%
"943","943. 은평구청 보건소",19079,12.76%,20.64%,18.54%
"756","756. 목동주차장",19075,4.93%,17.88%,32.86%
"2259","2259. 잠원역 3번-4번 출구사이",19036,10.74%,22.67%,26.49%
"265","265. 영등포유통상가 사거리",19014,16.26%,19.68%,22.71%
"587","587. 유니베라 앞",18985,5.68%,33.48%,22.22%
"114","114. 홍대입구역 8번출구 앞",18954,3.23%,21.41%,29.49%
"1001","1001. 광진교 남단 사거리(천호공원 방면)",18948,9.88%,15.57%,30.73%
"2910","2910.도깨비시장",18933,10.27%,16.77%,26.81%
"4091","4091. 방학역2번출구",18884,10.25%,19.68%,24.84%
"530","530. 청계벽산아파트 앞",18882,25.03%,15.71%,23.04%
"266","266. 영등포청과시장 사거리",18875,11.68%,21.46%,22.35%
"111","111. 상수역 2번출구 앞",18851,4.52%,16.75%,33.55%
"292","292. 영일 어린이공원",18838,22.22%,13.83%,23.80%
"5151","5151.진넥스베르디엠 앞",18837,14.52%,16.51%,25.84%
"204","204. 국회의사당역 5번출구 옆",18832,15.03%,29.40%,15.59%
"3560","3560.성동구 견인차량 보관소 앞",18829,16.60%,18.98%,22.73%
"4020","4020. 중계동 성모빌딩 앞",18806,5.42%,19.22%,28.92%
"2404","2404. 대모산입구역 4번 출구 앞",18785,19.79%,15.71%,27.19%
"1742","1742. 북한산 코오롱 하늘채",18781,17.16%,11.20%,25.33%
"1966","1966. 한마을아파트 정문상가",18769,25.87%,11.57%,23.24%
"623","623. 서울시립대 정문 앞 B",18738,11.02%,16.11%,25.65%
"166","166. 가재울 초등학교",18732,26.51%,11.47%,27.56%
"2604","2604. 풍납토성 서성벽터A",18673,23.27%,17.45%,25.37%
"1351","1351. 안암2교 옆",18652,14.68%,18.15%,23.55%
"4556","4556. 리버뷰신안인스빌1차 후문",18647,25.33%,24.21%,16.69%
"1824","1824. 독산근린공원 입구",18601,24.35%,12.91%,27.78%
"3013","3013.서울지방고용노동청 앞",18597,5.44%,40.24%,10.75%
"4220","4220. 신촌 청년주택",18583,21.50%,13.47%,28.58%
"417","417. DMC역 2번출구 옆",18562,24.33%,29.32%,16.08%
"2058","2058. 동작경찰서",18562,7.70%,14.85%,32.35%
"214","214. 금융감독원 앞",18556,3.20%,45.64%,8.00%
"4024","4024. 꿈의숲 SK뷰 아파트",18531,18.66%,13.23%,23.86%
"4140","4140. 신설동역 4번출구",18496,13.42%,17.35%,22.72%
"3407","3407.안국동사거리(신)",18481,12.55%,20.82%,26.71%
"2658","2658.가락몰 업무동",18476,9.64%,21.66%,19.26%
"4465","4465. 건영아파트앞 사거리",18466,14.06%,17.82%,24.32%
"4418","4418. 종암동 동덕여대 제2생활관 앞",18449,13.33%,15.90%,25.11%
"716","716.신정6동 주민센터 인근",18448,11.93%,16.79%,25.50%
"1450","1450. 화랑대역 7번출구",18444,9.31%,12.81%,22.50%
"2656","2656.풍납동 아이파크 107동 앞",18420,15.48%,21.91%,19.96%
"3860","3860. 건국대학교 정문 앞",18403,11.96%,16.30%,23.39%
"310","310. 청계광장 옆",18389,14.93%,26.02%,16.94%
"4510","4510. 신정네거리역 교차로",18376,15.95%,16.95%,26.91%
"719","719. 홍익병원앞 교차로",18375,21.02%,14.33%,24.28%
"3929","3929. 고척아이파크아파트 205동 앞",18375,35.93%,10.68%,22.68%
"1705","1705. 도봉구청 정문앞",18333,7.76%,20.02%,21.85%
"2901","2901.공릉동풍림아파트 101동",18304,28.76%,9.89%,26.09%
"2067","2067. 보라매역?동작세무서 버스정류장(강남중학교방면)",18277,10.75%,19.10%,27.58%
"1380","1380.월곡역 5번출구 앞",18274,16.26%,16.64%,25.11%
"220","220. 미성아파트 A동 앞",18264,12.70%,27.74%,19.63%
"157","157. 애오개역 4번출구 앞",18244,24.24%,13.51%,24.18%
"4528","4528. 양천구청역 1번출구",18222,20.00%,25.35%,19.09%
"1212","1212. 송파역 2번 출구앞",18188,16.51%,22.29%,21.43%
"1354","1354. 고려대학교 2번출구",18184,11.59%,21.14%,19.96%
"288","288. 쌍용예가(구청별관)",18171,20.28%,18.73%,21.70%
"1030","1030. 미호 플랜트 앞",18118,17.94%,17.94%,26.88%
"1141","1141. 곰달래 문화복지센터 A",18050,18.19%,15.85%,25.88%
"4592","4592. 신길우성4차아파트",18034,17.62%,14.67%,23.36%
"1274","1274. 영파여고 앞",18025,14.04%,14.75%,20.74%
"1830","1830. 빅마켓 금천점 앞",18014,25.77%,23.35%,18.84%
"4522","4522. 신곡시장",18011,10.35%,17.10%,27.19%
"1907","1907. 구일우성(아) 육교 밑",17998,27.64%,13.91%,22.02%
"4567","4567. 한림대학교 강남성심병원 신관",17982,15.72%,16.56%,25.77%
"578","578. 성동세무서 부근",17969,25.52%,23.17%,14.94%
"1530","1530. 광산사거리",17965,8.87%,15.02%,27.75%
"3900","3900. 건국대학교 신공학관",17919,4.33%,27.07%,11.47%
"558","558. 성동광진 교육지원청 앞",17914,9.96%,18.63%,23.02%
"3783","3783. 마곡금호어울림아파트",17894,27.64%,14.45%,25.54%
"542","542. 강변역 4번출구 뒤",17891,6.22%,24.21%,30.60%
"201","201. 진미파라곤 앞",17858,10.16%,28.92%,23.42%
"4854","4854. 가락시장역 2번 출구",17842,14.71%,20.31%,23.47%
"2231","2231. 삼성타운(삼성생명) A동 맞은편",17837,6.25%,37.84%,15.08%
"669","669.청계한신휴플러스앞 삼거리",17787,28.35%,13.33%,21.35%
"1738","1738. 창동주공17단지 상가앞",17785,17.59%,18.03%,25.09%
"4491","4491. 장지역 1번출구",17770,14.87%,25.50%,20.89%
"1245","1245. 문정 법조단지9",17754,14.82%,20.18%,29.22%
"2909","2909. 석계역 3번 출구",17736,11.10%,17.96%,28.46%
"3544","3544.한양대역 3번 출구",17733,13.99%,22.09%,20.17%
"1004","1004. 삼성광나루아파트 버스정류장",17732,13.14%,15.48%,30.64%
"1606","1606. 태릉입구역 3번출구",17726,8.62%,16.64%,27.29%
"1305","1305. 성북구청",17718,13.34%,15.27%,26.23%
"3762","3762. 마곡9단지 907동앞",17702,29.84%,12.07%,23.64%
"4080","4080. 창동주공19단지앞",17684,12.06%,18.77%,24.85%
"2332","2332. 선릉역3번출구",17683,13.59%,25.26%,17.84%
"3009","3009. 홍대입구역 사거리",17659,3.59%,24.42%,27.26%
"4804","4804. 동서울농협 앞",17638,5.95%,20.06%,25.00%
"571","571. 세종대학교 대양AI센터",17633,14.80%,18.03%,18.23%
"1128","1128. 화곡역 6번출구",17611,15.90%,18.80%,24.37%
"3506","3506. 영동대교 북단",17608,13.30%,18.89%,24.99%
"438","438. 성산2-1 공영주차장",17587,13.42%,16.57%,28.30%
"1385","1385.성신여대입구역 3번출구 앞",17565,11.32%,13.98%,26.64%
"2653","2653.올림픽공원사거리(선수촌아파트)",17564,12.82%,16.68%,29.63%
"4905","4905. 강남경찰서",17542,3.79%,38.58%,16.79%
"3415","3415.동대문역6번출구",17512,10.43%,19.66%,26.38%
"4953","4953. 세양청마루아파트 앞",17497,17.79%,15.87%,24.57%
"412","412. DMC산학협력연구센터 앞",17479,13.44%,30.65%,16.22%
"490","490.가온문화공원",17420,5.07%,33.56%,18.34%
"4560","4560. 양평동성원아파트",17395,15.44%,24.55%,19.24%
"1928","1928. 고척스카이돔구장 광장",17336,15.02%,15.81%,22.29%
"1199","1199. 우장산역 3번출구",17291,12.04%,17.15%,25.42%
"1804","1804. 독산역 2번출구 자전거주차장",17246,26.35%,25.20%,18.06%
"1827","1827. 독산보도육교 앞 자전거 보관소",17244,12.44%,24.30%,29.31%
"488","488.푸르메병원",17238,20.18%,18.71%,20.17%
"1478","1478.홈플러스 상봉점 앞",17230,10.32%,19.22%,27.95%
"2060","2060. 남성역3번출구 뒤",17220,24.07%,11.24%,27.08%
"1471","1471.동양쇼핑 정류소 앞",17214,18.40%,13.04%,26.19%
"252","252. 보라매역4번출구",17184,13.02%,20.07%,24.17%
"1205","1205. 종합운동장역 4번출구",17176,10.68%,27.68%,26.96%
"3698","3698. 명일역 3번출구 옆",17172,13.71%,20.06%,25.53%
"4207","4207. 아만티호텔 앞",17141,7.26%,22.31%,25.55%
"2414","2414. 도곡역 아카데미스위트 앞",17139,12.50%,24.87%,19.63%
"834","834. 효창공원앞역 3번출구 앞",17130,31.38%,12.86%,22.58%
"680","680.꿈마루어린이도서관 앞",17109,9.27%,14.17%,27.25%
"4121","4121. 서울문화재단 앞",17102,19.46%,23.52%,18.42%
"1841","1841. 가산동 주민센터",17068,37.59%,10.92%,19.09%
"5503","5503. 마포아트센터 앞",17067,21.99%,11.02%,21.40%
"104","104. 합정역 1번출구 앞",17065,8.47%,22.42%,25.80%
"1401","1401. 극동늘푸른아파트",17062,8.61%,13.91%,31.45%
"1681","1681. 현대6차 아파트",17034,14.49%,15.06%,29.26%
"4952","4952.천호시장 버스정류소 옆",17031,18.45%,12.40%,28.93%
"4926","4926. 대치우성아파트 사거리",17025,17.90%,27.67%,18.75%
"418","418. 월드컵경기장역 3번출구 옆",17003,3.58%,15.47%,41.02%
"1260","1260. 방이동 한양3차아파트 옆",16971,14.85%,17.98%,26.09%
"1282","1282. 송파소방서 맞은편(성내4교)",16968,23.40%,13.82%,26.08%
"4032","4032. 불암주유소 앞",16964,9.77%,20.70%,27.69%
"1924","1924. 삼부르네상스파크빌",16945,26.69%,21.03%,18.88%
"493","493.홍대입구역 6번출구",16941,8.25%,20.06%,27.73%
"155","155. 가좌역1 번출구 앞",16933,22.16%,20.17%,23.48%
"5154","5154.광진구청 앞",16894,8.01%,21.94%,25.61%
"1108","1108. 공항시장역 2번출구 뒤",16891,18.74%,13.45%,27.10%
"609","609. 제기2교",16879,16.68%,14.82%,27.34%
"521","521. 왕십리역 11번 출구 앞",16857,6.81%,15.89%,26.49%
"178","178. 증산3교 앞",16847,23.50%,12.92%,26.54%
"1931","1931. 개봉역2번출구 A",16824,20.77%,22.90%,20.08%
"1390","1390.석관래미안아트리치",16813,16.11%,14.42%,27.94%
"255","255. 도림사거리",16811,13.11%,14.69%,30.48%
"763","763. 목동11단지 아파트",16773,17.56%,14.15%,26.75%
"1265","1265. 문정동 근린공원",16751,18.92%,16.26%,22.63%
"2202","2202.청계산입구역 1번출구",16748,21.11%,26.37%,18.74%
"2265","2265. 이수고가차도 남단",16746,12.43%,21.13%,25.82%
"1952","1952. 천왕연지타운2단지 앞",16713,20.07%,15.12%,26.50%
"2407","2407. 역삼서초삼성 세무서 앞 (역삼빌딩 앞)",16713,10.87%,23.08%,19.89%
"766","766. 신목동역 3번출구",16691,9.62%,23.86%,29.71%
"2059","2059. 보라매공원 정문",16690,9.56%,24.55%,24.67%
"550","550. 서울시설공단 앞",16677,9.17%,42.08%,11.71%
"4349","4349.삼성화재서초타워",16677,8.46%,23.57%,20.87%
"4812","4812. 묵동 이마트 앞",16676,5.61%,18.66%,27.60%
"1204","1204. 거여역 3번출구",16652,10.61%,19.02%,24.50%
"4526","4526. 목동아파트2단지 222동 앞",16637,29.42%,10.41%,25.52%
"1991","1991. 오류동역 맞은편",16632,13.09%,14.39%,27.95%
"1129","1129. 화곡역 1번 출구 앞",16581,11.68%,20.27%,23.95%
"5885","5885. 신정교하부(도림천역 방면)",16563,17.67%,16.32%,27.96%
"145","145. 공덕역 5번출구",16559,16.57%,20.26%,23.84%
"2214","2214. 신반포역 2번출구 앞",16556,6.47%,15.90%,41.01%
"5073","5073. 우장산역 헤링턴타워 앞",16554,11.48%,16.12%,26.63%
"917","917. 녹번역 3번출구",16534,22.53%,19.12%,20.74%
"5514","5514.공덕역 1번출구",16522,9.18%,21.63%,25.46%
"456","456. 숭인2동 주민센터 입구",16478,17.33%,14.07%,23.03%
"650","650. 중랑교사거리",16470,6.97%,14.25%,30.35%
"4480","4480. 가락시장 남1문 사거리",16460,22.21%,19.99%,18.55%
"329","329. 청계2가 사거리 옆",16448,7.73%,28.54%,23.12%
"2252","2252. 잔디마을 마을버스 정류장",16424,5.62%,27.76%,22.10%
"4721","4721. 통인시장 정자",16407,24.92%,11.78%,27.50%
"3573","3573.광나루안전체험관",16382,19.66%,16.77%,25.13%
"635","635. 시조사 앞",16379,16.83%,12.62%,23.44%
"5319","5319. 연해피빌 앞",16378,10.88%,14.92%,18.83%
"256","256. 동아에코빌입구",16364,20.02%,13.94%,25.95%
"326","326. 안국역 5번출구 앞",16337,14.76%,22.67%,20.71%
"2627","2627.문정시영아파트 5동 앞 공원",16317,22.30%,15.85%,24.75%
"4386","4386. 현대자동차 동부서비스센터 주변",16305,23.83%,24.42%,15.65%
"4713","4713. 현대 뜨레비앙 아파트 앞",16271,9.49%,21.46%,20.12%
"2725","2725.서울식물원 식물문화센터",16257,9.08%,19.39%,32.02%
"1552","1552. 강북구청사거리",16256,5.31%,22.18%,26.27%
"2651","2651.경찰병원역 3번출구 앞",16254,19.96%,17.64%,22.29%
"4468","4468. 가락1동주민센터",16252,26.08%,12.01%,25.17%
"4705","4705. 웰니스센터(민방위교육장 앞)",16247,22.04%,14.90%,19.67%
"2342","2342. 대청역 1번출구  뒤",16219,13.02%,21.91%,25.04%
"2279","2279. 교대역 5번출구뒤",16206,15.40%,19.34%,20.38%
"427","427. 성산시영아파트",16200,19.95%,12.91%,26.66%
"3691","3691. 둔촌역 2번출구",16198,9.44%,24.97%,24.50%
"5774","5774. 가락본동주민센터 인근",16164,13.01%,18.87%,22.06%
"3853","3853. 어린이대공원역 2번출구",16142,26.23%,16.58%,20.46%
"1267","1267. 올림픽공원 남2문 앞",16131,15.34%,16.01%,32.66%
"1404","1404. 동일로 지하차도",16120,18.68%,12.83%,19.40%
"4619","4619. 한강트럼프월드3차 앞",16108,12.79%,16.87%,30.33%
"4453","4453. 위례중앙푸르지오 201동 앞",16093,10.59%,13.83%,29.69%
"3206","3206.문래동 주민센터",16089,12.77%,26.16%,18.48%
"1433","1433. 중화역 2번출구",16078,6.90%,17.27%,25.67%
"525","525. 한양대병원사거리",16075,5.36%,16.73%,30.26%
"270","270. 증권거래소후문교차로",16066,10.20%,33.62%,15.67%
"2294","2294. 두상빌딩 앞",16049,24.41%,20.09%,19.06%
"2211","2211. 서초구립반포도서관 앞",16040,10.65%,23.11%,25.29%
"4794","4794. 서울역 서부교차로(3)",16040,28.94%,16.13%,21.55%
"1206","1206. 9호선종합운동장역 9번출구",16023,15.49%,23.09%,23.35%
"107","107. 수협 연남동지점",16013,9.42%,22.99%,23.81%
"1334","1334. 석관동주민센터 앞",16012,11.96%,16.14%,21.96%
"860","860.LG한강 자이아파트 앞",15992,11.22%,16.79%,34.52%
"380","380. CJ제일제당 앞",15989,15.06%,23.22%,16.35%
"345","345. 서울보증보험본사 앞",15988,19.46%,25.76%,12.38%
"1920","1920. 서울미래초등학교 사거리",15960,18.11%,14.71%,24.67%
"4483","4483. 잠실나들목4",15943,14.66%,12.59%,34.94%
"4019","4019. 상계주공10단지 버스정류소",15921,14.09%,15.84%,26.09%
"2110","2110. 조원동 미성아파트",15916,11.90%,19.53%,25.57%
"4393","4393. 상원삼거리 장안철교 아래",15911,10.02%,34.56%,17.67%
"3128","3128.동신병원 맞은편",15903,9.74%,16.08%,31.19%
"5323","5323. 하계역 4번출구 앞",15899,12.67%,18.49%,24.00%
"1987","1987. 개봉아이파크아파트 앞",15885,29.67%,10.63%,28.18%
"4708","4708. 조계사앞사거리",15870,12.29%,22.68%,15.19%
"5097","5097. LG사이언스파크 E2동",15860,4.01%,54.98%,4.52%
"3414","3414.종로5가역 4번출구",15845,16.07%,20.18%,22.01%
"4792","4792. 퇴계로4가 교차로(중구청)",15841,12.10%,18.47%,20.90%
"4270","4270. 우국한마음 아파트 맞은편",15839,14.39%,19.34%,22.93%
"758","758. 한사랑교회 앞",15815,21.44%,13.28%,28.35%
"475","475.DDP 패션몰",15807,5.60%,14.68%,14.48%
"2737","2737.까치산역 3번 출구",15786,10.45%,17.14%,27.12%
"5088","5088. 등촌역 센터스퀘어",15786,8.91%,17.42%,26.45%
"1306","1306. 한성대입구역2번출구",15770,7.98%,16.29%,29.71%
"4004","4004. 당고개입구오거리 당현천변",15763,10.99%,15.38%,27.17%
"3203","3203.도림동배드민턴체육관",15762,25.19%,12.43%,22.94%
"2605","2605. 복정역 1번 출구 앞",15742,10.88%,34.66%,17.70%
"6171","6171. 월드빌딩 앞",15730,9.55%,17.50%,26.93%
"989","989. 신응교(가좌로) 앞",15728,12.28%,15.06%,30.70%
"2115","2115. 관악구시설관리공단",15727,24.82%,13.23%,24.55%
"2710","2710.라이품 공영주차장 앞",15719,22.37%,16.37%,23.76%
"4657","4657. 본 서부병원 교차로 사거리",15719,14.79%,18.37%,26.11%
"1288","1288. 문정중교 사거리",15705,13.02%,16.51%,25.92%
"605","605. 신설동역8번출구",15643,12.93%,19.39%,24.76%
"1670","1670. 노원경찰서교차로",15622,20.45%,11.98%,19.98%
"420","420. 서울시 공공자전거 상암센터",15596,3.61%,14.24%,49.58%
"355","355. 서울사대부설초등학교 앞",15595,14.21%,20.93%,19.87%
"4317","4317. 양재근린공원",15586,19.00%,17.79%,22.40%
"557","557. 도선동 주민센터 앞",15573,18.76%,20.45%,21.40%
"3907","3907. 신도림7차e편한세상아파트 806동 앞",15572,21.37%,11.89%,25.13%
"1003","1003. 해공도서관앞",15571,16.18%,15.67%,27.32%
"1677","1677. 육군사관학교  앞",15567,12.28%,19.89%,27.65%
"2431","2431.대치역 7번출구",15567,13.70%,16.66%,29.52%
"3788","3788. 정곡나들목",15558,4.19%,12.21%,43.29%
"2537","2537.양재역 8번출구 앞",15542,13.60%,27.80%,22.22%
"3550","3550.금호나들목",15531,13.62%,14.80%,36.32%
"1929","1929. 고척근린공원 고척도서관 앞",15522,11.64%,14.24%,26.54%
"5326","5326. 대진고교앞 교차로",15515,11.55%,14.90%,27.41%
"1074","1074.대명초교입구 사거리",15505,18.96%,11.56%,27.58%
"6060","6060. 신한은행 본점",15501,11.33%,31.40%,13.44%
"4222","4222. 서울디자인고등학교 앞",15492,12.44%,17.92%,25.68%
"4381","4381. 더스페이스타워 앞",15486,9.27%,26.97%,23.18%
"2054","2054. 삼익아파트",15481,21.88%,10.07%,27.14%
"4089","4089. 동부센트레빌 앞",15453,19.67%,13.41%,25.88%
"2904","2904.중계3차청구아파트",15449,7.00%,14.91%,25.62%
"1440","1440. 면목2동 사거리",15430,13.73%,17.45%,27.02%
"1529","1529. 미아동 한국전력공사",15419,9.30%,19.49%,24.69%
"320","320. 을지로입구역 4번출구 앞",15406,14.06%,23.91%,14.92%
"2821","2821.청구아파트 앞",15370,23.73%,14.59%,22.39%
"3879","3879. 중랑천 뚝방길 산책로 입구",15341,23.89%,15.16%,26.19%
"2902","2902.공릉풍림아파트 108동",15335,32.71%,10.42%,22.51%
"4092","4092. 도봉경찰서 교차로",15333,13.36%,14.42%,22.92%
"2066","2066. 양문교회 앞",15323,16.00%,13.54%,27.19%
"4601","4601.양평역2번출구 뒤",15303,21.68%,21.26%,22.56%
"819","819. 선린인터넷 고등학교",15300,17.11%,14.07%,28.55%
"4076","4076. 도봉통합복지센터 뒤 중랑천 변",15300,8.56%,14.24%,30.09%
"215","215. 여의도고교 앞",15292,19.39%,17.30%,25.66%
"334","334. 종로3가역 2번출구 뒤",15289,11.41%,20.69%,21.56%
"3899","3899. 아차산역 2번출구",15288,14.19%,15.61%,30.76%
"4181","4181. 보라매공원역 2번출구",15266,13.45%,17.91%,28.87%
"700","700. KB국민은행 염창역 지점 앞",15263,11.57%,18.25%,26.60%
"838","838. 숙대입구역 4번출구",15260,11.69%,17.81%,25.64%
"5075","5075. 등촌역 1번출구",15228,13.78%,16.90%,25.30%
"289","289. 대림3동사거리",15207,17.66%,16.24%,23.46%
"455","455. 종로6가역 버스정류장(동대문 방향)",15205,11.32%,18.02%,10.86%
"4711","4711. 올림픽기념 국민생활관 로터리",15196,24.14%,11.90%,22.34%
"4512","4512. 목동13_14단지 사거리",15186,15.79%,17.19%,23.44%
"2056","2056. 동작구민 체육센터",15180,23.48%,15.77%,18.88%
"239","239. 유스호스텔 앞",15134,18.75%,23.62%,17.49%
"4167","4167. 구로교 아래",15102,7.50%,19.29%,27.92%
"915","915. 증산역 4번출구",15088,13.27%,16.25%,26.41%
"3984","3984. 가산롯데아이티캐슬",15048,7.61%,49.28%,11.31%
"3935","3935. 고대구로병원 앞",15043,11.88%,23.39%,18.72%
"1707","1707. 도봉구민회관",15037,11.76%,13.54%,23.26%
"3432","3432.종로2가 사거리",15035,8.95%,20.73%,20.36%
"4464","4464. 올림픽공원 북2문 A",15033,8.93%,19.19%,31.68%
"1685","1685. 불암고등학교 앞 횡단보도",15028,16.17%,15.45%,26.10%
"2911","2911.상계역중앙시장",15019,7.96%,18.44%,28.74%
"1640","1640. 한내근린공원 북측",15016,11.49%,14.38%,31.68%
"1767","1767.방학초등학교 앞",15011,19.63%,12.64%,24.20%
"108","108. 서교동 사거리",14995,2.45%,21.56%,31.98%
"1119","1119. 염창동 한마음아파트 앞",14981,16.04%,15.67%,28.31%
"4143","4143.서울동물복지지원센터 동대문",14981,6.33%,22.76%,23.53%
"4536","4536. 양천해누리체육공원",14957,9.85%,9.91%,13.08%
"6054","6054.청구e편한세상아파트 113동 앞",14956,19.22%,14.70%,23.84%
"5893","5893.한국산업은행",14952,3.96%,52.51%,8.90%
"3125","3125.연희파크푸르지오아파트 앞",14950,21.79%,14.32%,28.68%
"818","818. 숙명여대 입구 교차로",14942,17.99%,12.62%,25.56%
"411","411. DMC홍보관",14938,6.25%,36.49%,15.18%
"3121","3121.가좌삼거리",14899,11.49%,18.35%,27.30%
"3928","3928.고척아이파크아파트 106동 앞",14899,13.65%,17.24%,29.84%
"339","339. 종로4가 사거리",14887,7.13%,21.45%,18.34%
"4238","4238. 상암한샘빌딩앞",14883,27.39%,18.36%,16.58%
"1227","1227. 거여역 8번출구 뒤",14850,21.89%,21.62%,19.93%
"1175","1175. 대한항공 인력개발센터",14828,16.83%,18.14%,21.76%
"4965","4965.고덕비즈밸리 쿠쿠강동빌딩",14827,1.62%,29.88%,33.05%
"4028","4028. 한일유앤아이아파트 105동 인근",14815,14.80%,14.43%,29.23%
"336","336. 충무로역 6번출구 앞",14806,18.03%,19.88%,17.51%
"2645","2645.잠실나들목2(엘스아파트136동)",14794,15.03%,13.38%,33.24%
"3814","3814. 난곡사거리",14791,8.36%,14.91%,26.43%
"426","426. 서울신용보증재단",14777,15.27%,23.12%,20.92%
"335","335. 종로3가역 15번출구 뒤",14765,11.77%,22.75%,19.37%
"3763","3763. 등촌태영아파트",14743,20.58%,22.19%,22.51%
"513","513. 뚝섬역 5번 출구 정류소 옆",14739,12.92%,25.71%,17.42%
"314","314. 국립현대미술관",14738,7.18%,20.23%,29.70%
"1407","1407. 먹골역 1번출구 뒤",14727,11.17%,15.94%,26.58%
"3408","3408.종로타워빌딩",14681,10.54%,25.73%,15.61%
"148","148. 용강동 주민센터 앞",14658,21.78%,14.22%,29.38%
"453","453. 종로오가 지하쇼핑센터 14번출구",14658,11.29%,20.34%,21.44%
"5508","5508. 성산유수지공원",14654,15.03%,15.14%,29.18%
"2177","2177. 신대방역 2번 출구",14652,11.93%,19.07%,28.32%
"2070","2070. 노량진역 2번 출구 앞",14628,7.08%,18.68%,32.49%
"2375","2375. 수서역 1번출구 앞",14610,17.25%,25.38%,19.69%
"4272","4272. 홍남교 사거리",14601,18.28%,14.75%,28.20%
"2106","2106. 세이브마트",14588,14.36%,11.69%,25.72%
"2413","2413.도곡역 1번 출구",14580,13.81%,19.09%,27.76%
"4872","4872. 개롱역 3번 출구 뒤",14543,11.06%,17.66%,27.14%
"4090","4090. 녹천교 앞 사거리",14541,14.15%,15.25%,29.28%
"407","407. 마포구 육아종합지원센터",14526,13.11%,18.80%,19.63%
"367","367. 독립문역 3-1번출구",14510,43.79%,12.32%,18.48%
"1627","1627. 수락산역 4번출구",14492,11.41%,21.81%,25.48%
"2187","2187. 현대시장사거리",14485,16.64%,13.37%,26.65%
"2169","2169. 봉천역 2번출구",14456,10.85%,15.97%,26.22%
"1665","1665. 양지근린공원앞",14452,12.83%,14.12%,27.61%
"356","356. KT혜화지사 앞",14444,14.23%,18.28%,21.39%
"1411","1411. 상봉시장앞 교차로 한성빌딩 앞",14438,11.28%,13.35%,27.70%
"2515","2515.서초초등학교 후문",14438,6.43%,26.29%,24.56%
"2709","2709.강변아파트 310동 앞",14432,16.28%,13.16%,31.65%
"4957","4957. 신명초교 교차로",14407,20.30%,12.66%,27.08%
"124","124. 서강대 정문 건너편",14395,9.09%,16.93%,28.10%
"610","610. 동대문중 교차로",14388,23.01%,14.55%,23.92%
"3507","3507. 어린이회관",14377,20.52%,12.67%,22.89%
"4267","4267. 서대문역 2번 출구",14367,15.29%,19.38%,23.84%
"3614","3614. 은마아파트 입구 사거리",14334,8.25%,18.15%,27.38%
"5895","5895.생각공장당산",14326,11.80%,27.01%,17.17%
"844","844. 이촌2동 동원베네스트 아파트 앞",14322,21.65%,13.41%,26.18%
"3640","3640. 일원1동주민센터앞 사거리",14295,16.82%,24.90%,18.22%
"627","627. 장안동삼거리 교통섬",14280,14.47%,13.64%,27.14%
"1834","1834. 월드메르디앙 벤처센터 2차",14257,4.62%,49.75%,15.19%
