대여소번호,대여소명,전체 이용건수,평일 출근시간 이용건수(7-9시),평일출근비중(%),평일 퇴근시간 이용건수(17-19시),평일퇴근비중(%),주말 이용건수,주말이용비중(%)
"1166","1166. 강서구립등빛도서관",67255,14860,22.10%,10681,15.88%,16184,24.06%
"3939","3939.신도림역 3번출구",67072,7366,10.98%,20285,30.24%,16485,24.58%
"5052","5052. 마곡역 7번출구",66948,13873,20.72%,17656,26.37%,12349,18.45%
"765","765. 오목교역 3번출구",66480,5130,7.72%,13856,20.84%,19363,29.13%
"4565","4565. 영등포 신세계백화점",66307,3349,5.05%,15664,23.62%,22244,33.55%
"2102","2102. 봉림교 교통섬",65867,4385,6.66%,11018,16.73%,20677,31.39%
"5768","5768.방이삼거리",64144,6650,10.37%,11209,17.47%,17926,27.95%
"2733","2733.마곡13단지 정문 앞",63937,19670,30.76%,7147,11.18%,14560,22.77%
"3798","3798. 그랜드아이파크아파트 앞",63748,17251,27.06%,9914,15.55%,14419,22.62%
"583","583. 청계천 생태교실 앞",62641,5237,8.36%,10310,16.46%,22958,36.65%
"2721","2721.등촌1-10단지 교차로",62188,15675,25.21%,13075,21.02%,11807,18.99%
"5891","5891.한강버스 여의도 선착장",61488,837,1.36%,10765,17.51%,26264,42.71%
"5082","5082. 가양역 7번출구",61448,8444,13.74%,15373,25.02%,13459,21.90%
"2620","2620. 송파나루역 4번 출구옆",61183,8321,13.60%,10639,17.39%,17390,28.42%
"529","529. 장한평역 8번 출구 앞",60925,15391,25.26%,13523,22.20%,10446,17.15%
"1050","1050.  둔촌역 3번 출입구",60119,8242,13.71%,10510,17.48%,15189,25.26%
"113","113. 홍대입구역 2번출구 앞",59869,7195,12.02%,16839,28.13%,13647,22.79%
"1906","1906. 신도림역 1번 출구 앞",59498,13084,21.99%,15252,25.63%,13357,22.45%
"1151","1151. 마곡역1번출구",59399,10580,17.81%,14417,24.27%,12449,20.96%
"5858","5858. 영등포역5번출구",59215,11977,20.23%,9522,16.08%,15584,26.32%
"3534","3534. 건대입구역 5번출구 뒤",58808,6405,10.89%,10722,18.23%,15939,27.10%
"5153","5153.한강버스 뚝섬 선착장",58351,1188,2.04%,10327,17.70%,23905,40.97%
"508","508. 성수아카데미타워 앞",57587,14798,25.70%,14242,24.73%,9182,15.94%
