대여소번호,대여소명,표준화_건수4열_클러스터,표준화_혼합4열_클러스터,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일퇴근비중(%),주말비중(%)
"5338","5338. 상계초교 입구 교차로",Group 2,Group 2,14117,902,2457,3778,17.40%,26.76%
"4397","4397. 마장축산물시장 북문 건너편",Group 2,Group 2,14107,1340,3189,3896,22.61%,27.62%
"3651","3651. 개포동역 4번출구",Group 2,Group 2,14101,1756,2107,4454,14.94%,31.59%
"949","949. 연신내역 1번 출구",Group 2,Group 2,14092,1336,2779,3759,19.72%,26.67%
"2539","2539.대한무역투자진흥공사 KOTRA 앞",Group 2,Group 1,14084,685,6508,880,46.21%,6.25%
"3120","3120.DMC엘가아파트 앞",Group 2,Group 2,14082,2204,2395,3503,17.01%,24.88%
"6184","6184. 한강버스 마곡 선착장",Group 2,Group 2,14081,569,2273,5651,16.14%,40.13%
"1726","1726. 삼익세라믹아파트교차로",Group 2,Group 2,14062,2128,1976,3937,14.05%,28.00%
"1233","1233. 잠실3거리(갤러리아팰리스)",Group 2,Group 2,14047,1605,2389,3756,17.01%,26.74%
"4114","4114. 휘경여중고삼거리",Group 2,Group 2,14041,1949,2300,3448,16.38%,24.56%
"1428","1428. 원묵고등학교",Group 2,Group 2,14037,1732,2081,3738,14.83%,26.63%
"4652","4652. 신사두산위브2차아파트 앞",Group 2,Group 4,14029,3732,1398,3270,9.97%,23.31%
"4169","4169. 신대방삼거리",Group 2,Group 2,14026,1601,1712,3990,12.21%,28.45%
"2013","2013. 장승배기역 5번출구",Group 2,Group 2,14007,1832,2308,3828,16.48%,27.33%
"4083","4083.도봉아이나라도서관 앞",Group 2,Group 2,13999,2802,1661,3193,11.87%,22.81%
"1770","1770.도봉한신아파트 주변",Group 2,Group 2,13996,1577,2060,2754,14.72%,19.68%
"2530","2530.삼호3차아파트 앞",Group 2,Group 2,13993,1784,2712,3809,19.38%,27.22%
"722","722. 경서농협 버스정류장(우리은행신정동지점방향)",Group 2,Group 2,13991,2668,2201,3867,15.73%,27.64%
"4347","4347. 논현지하보도",Group 2,Group 4,13986,2904,2366,3154,16.92%,22.55%
"4214","4214. JTBC 앞",Group 2,Group 1,13981,981,4408,2130,31.53%,15.23%
"2108","2108. 은천치안센터",Group 2,Group 2,13973,2165,2115,3856,15.14%,27.60%
"1974","1974. 신도림2차e편한세상아파트 203동 앞",Group 2,Group 2,13961,2639,2066,3573,14.80%,25.59%
"3931","3931. 천왕역 3번 출구 뒤",Group 2,Group 1,13955,2165,3505,2575,25.12%,18.45%
"5325","5325.상계주공7단지 아파트 앞",Group 2,Group 2,13955,1292,2115,3829,15.16%,27.44%
"3502","3502. 중곡역 1번출구",Group 2,Group 2,13943,1830,2639,3293,18.93%,23.62%
"281","281. 대림신동아아파트 앞",Group 2,Group 2,13941,1734,2190,3856,15.71%,27.66%
"223","223. 진주아파트상가 앞",Group 2,Group 2,13903,2098,2551,3144,18.35%,22.61%
"1630","1630. 수연빌딩 앞",Group 2,Group 2,13884,1084,2509,4067,18.07%,29.29%
"849","849. 삼각지 자이아파트",Group 2,Group 2,13871,2720,2004,4103,14.45%,29.58%
"4589","4589. KRX한국거래소(1)",Group 2,Group 1,13861,1626,3773,2459,27.22%,17.74%
"1664","1664. 노해근린공원내",Group 2,Group 2,13839,2189,1777,4073,12.84%,29.43%
"2327","2327. 뱅뱅사거리 랜드마크타워 앞",Group 2,Group 1,13825,1442,4140,2202,29.95%,15.93%
"4113","4113. 한국국방연구원 앞",Group 2,Group 2,13819,1542,3174,3169,22.97%,22.93%
"4719","4719. 종로문화원 건너편",Group 2,Group 1,13816,1160,3533,2510,25.57%,18.17%
"1605","1605. 헬스케어",Group 2,Group 2,13795,1507,2704,3427,19.60%,24.84%
"4517","4517. 성보하이드로빌딩",Group 2,Group 2,13780,2403,1635,3938,11.87%,28.58%
"1382","1382.래미안월곡아파트 입구",Group 2,Group 4,13776,3492,1586,3370,11.51%,24.46%
"4707","4707. 청계3가 사거리",Group 2,Group 2,13775,2255,2406,3505,17.47%,25.44%
"5513","5513. 마포음식문화거리",Group 2,Group 2,13759,2110,2206,4024,16.03%,29.25%
"1470","1470.중화동 우리은행 앞",Group 2,Group 2,13737,2006,2371,3619,17.26%,26.34%
"1229","1229. 송파체육문화회관 앞",Group 2,Group 4,13731,2667,2296,2141,16.72%,15.59%
"4569","4569. 힐스테이트클래시안아파트",Group 2,Group 2,13707,3138,1671,3438,12.19%,25.08%
"1384","1384.성신여대입구역 5번출구",Group 2,Group 2,13700,2424,1837,3654,13.41%,26.67%
"3528","3528. 광진정보도서관",Group 2,Group 2,13699,523,2860,5034,20.88%,36.75%
"2423","2423.영희초교 사거리(래미안개포루체하임)",Group 2,Group 2,13690,1863,1849,3938,13.51%,28.77%
"5155","5155.광진경찰서 앞",Group 2,Group 4,13690,3382,1906,3404,13.92%,24.86%
"3119","3119.연희 브라운스톤 아파트 앞",Group 2,Group 2,13689,2256,2122,3999,15.50%,29.21%
"3775","3775. 가양오토갤러리",Group 2,Group 1,13689,2560,3190,2573,23.30%,18.80%
"777","777.신월6차보람아파트 앞",Group 2,Group 4,13688,3485,1707,3334,12.47%,24.36%
"1456","1456. 상아빌딩(우림시장 교차로)",Group 2,Group 2,13668,1735,1784,3636,13.05%,26.60%
"2080","2080. 대방지하보도(대방동경남아너스빌아파트)",Group 2,Group 2,13656,1949,2949,3287,21.59%,24.07%
"3983","3983. 금천구청역 1번 출구",Group 2,Group 1,13649,2264,4094,2494,29.99%,18.27%
"1741","1741. 제일강산수산입구",Group 2,Group 2,13641,1304,2083,3805,15.27%,27.89%
"2333","2333. 양재역 3번출구 주변",Group 2,Group 1,13629,1877,3566,2789,26.16%,20.46%
"2171","2171. 서울대입구역 5번출구",Group 2,Group 2,13601,1027,2698,3718,19.84%,27.34%
"2247","2247.섬들근린공원",Group 2,Group 2,13587,2778,2017,3477,14.85%,25.59%
"1651","1651. 상계동 우방유쉘아파트 앞",Group 2,Group 2,13585,1878,1938,3733,14.27%,27.48%
"4677","4677. 백련산 SK뷰 아이파크 해모로 아파트 앞",Group 2,Group 4,13579,4023,1429,3329,10.52%,24.52%
"985","985. 은평세무서 버스정류장(은평구청 방면)",Group 2,Group 2,13562,2079,2198,3190,16.21%,23.52%
"1110","1110. 공항중학교앞",Group 2,Group 4,13531,4120,1263,2979,9.33%,22.02%
"2542","2542.신논현타워 앞",Group 2,Group 2,13520,1657,3025,3247,22.37%,24.02%
"5317","5317. 공릉동 신도1차 아파트 뒤",Group 2,Group 2,13503,2125,1967,3463,14.57%,25.65%
"826","826. 서울역 서부교차로2",Group 2,Group 4,13492,3517,1994,3200,14.78%,23.72%
"6061","6061.충무아트센터",Group 2,Group 2,13472,1600,2021,2783,15.00%,20.66%
"5309","5309. 월계 롯데캐슬아파트 뒤",Group 2,Group 2,13461,2791,1596,3591,11.86%,26.68%
"916","916. 평생학습관 앞",Group 2,Group 2,13460,1430,2152,3754,15.99%,27.89%
"331","331. 을지로2가 사거리 북측",Group 2,Group 1,13430,1472,4833,1353,35.99%,10.07%
"5869","5869. 영등포아트홀 앞",Group 2,Group 2,13429,1522,2609,2917,19.43%,21.72%
"3793","3793. 더리브골드타워",Group 2,Group 1,13428,2693,4052,2082,30.18%,15.50%
"374","374. 신당동주민센터앞",Group 2,Group 2,13417,1449,2879,3050,21.46%,22.73%
"1203","1203. 밀리아나2빌딩 앞",Group 2,Group 1,13404,915,3304,2642,24.65%,19.71%
"4588","4588.양남사거리2",Group 2,Group 1,13399,1652,4091,2493,30.53%,18.61%
"706","706. 신정네거리역",Group 2,Group 2,13386,1784,2967,3241,22.16%,24.21%
"4425","4425. 하늘채코오롱아파트 앞",Group 2,Group 2,13364,1770,1810,4110,13.54%,30.75%
"1327","1327. 상월곡역 3번출구",Group 2,Group 2,13352,2001,2502,3333,18.74%,24.96%
"5078","5078. 왈도강서캠퍼스 앞",Group 2,Group 4,13311,3177,1846,3221,13.87%,24.20%
"2086","2086.삼일수영장 앞",Group 2,Group 4,13302,3896,1098,3087,8.25%,23.21%
"454","454. 종로2가 버스정류장 (종각방향)",Group 2,Group 2,13297,1337,2786,2908,20.95%,21.87%
"1520","1520. 수유중앙시장",Group 2,Group 2,13286,1410,1714,3717,12.90%,27.98%
"457","457. 종로꽃시장 입구 옆",Group 2,Group 1,13257,2529,2907,1959,21.93%,14.78%
"1743","1743.창동19단지아파트 관리사무소앞",Group 2,Group 2,13231,2615,1732,3651,13.09%,27.59%
