대여소번호,대여소명,표준화_건수4열_클러스터,표준화_혼합4열_클러스터,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일퇴근비중(%),주말비중(%)
"4478","4478. 문정근린공원2",Group 2,Group 2,11338,2166,1483,2520,13.08%,22.23%
"4530","4530. 방아다리어린이공원",Group 2,Group 2,11328,1522,1614,3057,14.25%,26.99%
"5860","5860. 어울림병원 앞",Group 2,Group 2,11301,2779,1348,2840,11.93%,25.13%
"1565","1565.수유사거리",Group 2,Group 2,11298,1070,1984,3013,17.56%,26.67%
"2091","2091. 이수역9번출구",Group 2,Group 2,11298,891,2418,2856,21.40%,25.28%
"552","552. 대림아크로리버 앞",Group 2,Group 2,11289,1315,1589,3234,14.08%,28.65%
"2012","2012. 대림사거리(동작상떼빌아파트)",Group 2,Group 2,11287,1584,2116,2790,18.75%,24.72%
"4208","4208. 스타벅스(동교동) 앞",Group 2,Group 1,11283,421,3166,2910,28.06%,25.79%
"739","739. 신월사거리",Group 2,Group 2,11282,2109,1602,2119,14.20%,18.78%
"2511","2511. 이수역 6번출구 앞",Group 2,Group 2,11265,1811,2285,2582,20.28%,22.92%
"4887","4887. 호돌이상가",Group 2,Group 2,11260,2037,2241,2664,19.90%,23.66%
"4427","4427. 동일하이빌뉴시티",Group 2,Group 2,11259,1294,2001,3057,17.77%,27.15%
"762","762. 오목로 무중력지대 앞",Group 2,Group 2,11248,636,2274,3333,20.22%,29.63%
"182","182. 망원2빗물펌프장 앞",Group 2,Group 2,11246,1123,1749,4140,15.55%,36.81%
"2324","2324. 천주교 대치 2동 교회 옆",Group 2,Group 2,11226,1004,2326,3050,20.72%,27.17%
"984","984.상신초등학교앞 버스정류장",Group 2,Group 2,11224,2153,1375,3008,12.25%,26.80%
"752","752. 성원2차 아파트",Group 2,Group 2,11184,2798,1577,2800,14.10%,25.04%
"4138","4138. 조일빌딩 앞",Group 2,Group 2,11177,2518,1969,2575,17.62%,23.04%
"2191","2191.대학동주민센터",Group 2,Group 2,11176,1357,1618,3067,14.48%,27.44%
"346","346. 맥스타일 앞",Group 2,Group 2,11168,564,2128,2346,19.05%,21.01%
"2179","2179. 양녕로 입구",Group 2,Group 2,11162,993,1754,3398,15.71%,30.44%
"1722","1722. 창동청소년수련관",Group 2,Group 2,11154,1833,1632,2116,14.63%,18.97%
"2409","2409. 역삼동 디오슈페리움 (우성아파트 사거리)",Group 2,Group 1,11139,1073,2827,2203,25.38%,19.78%
"3587","3587.우성식품 앞",Group 2,Group 2,11133,2354,1381,2869,12.40%,25.77%
"743","743. 현대6차아파트 101동 옆",Group 2,Group 2,11126,1953,1587,1964,14.26%,17.65%
"2603","2603. 송파 글마루 도서관",Group 2,Group 2,11110,1838,1425,2820,12.83%,25.38%
"4406","4406. 장곡초등학교 앞",Group 2,Group 2,11107,1700,1396,2817,12.57%,25.36%
"300","300. 정동사거리",Group 2,Group 1,11090,2584,2247,1918,20.26%,17.29%
"4643","4643. 한가람아파트 앞",Group 2,Group 2,11069,910,1700,4109,15.36%,37.12%
"4062","4062. 평화도봉공원 주변",Group 2,Group 2,11042,1443,1909,2939,17.29%,26.62%
"4803","4803. 상봉2동 주민센터 앞",Group 2,Group 2,11038,1768,1670,2675,15.13%,24.23%
"2823","2823.중앙유통단지 앞",Group 2,Group 1,11029,820,3659,1326,33.18%,12.02%
"519","519. 양지사거리",Group 2,Group 2,11022,1748,2238,2566,20.30%,23.28%
"5314","5314. 월계1동주민센터 앞",Group 2,Group 2,11017,1364,1703,2707,15.46%,24.57%
"4224","4224. 서부운전면허시험장",Group 2,Group 2,11013,2173,1665,2341,15.12%,21.26%
"6190","6190.마곡광장(마곡나루역 6번출구)",Group 2,Group 1,11011,3376,2455,2037,22.30%,18.50%
"3803","3803. 남서울중학교",Group 2,Group 2,11009,1962,1550,2716,14.08%,24.67%
"2819","2819.하늘숲초등학교 앞",Group 2,Group 2,11000,2825,1541,2398,14.01%,21.80%
"537","537. 한양대후문역 부근",Group 2,Group 2,10996,1034,1611,3082,14.65%,28.03%
"1961","1961. 신도림테크노근린공원",Group 2,Group 1,10996,1416,3794,2365,34.50%,21.51%
"852","852. 청암자이아파트 앞",Group 2,Group 2,10973,1737,1842,3256,16.79%,29.67%
"2415","2415.한티역 롯데백화점 앞",Group 2,Group 2,10961,848,2185,3035,19.93%,27.69%
"1322","1322. 래미안라센트아파트 103동 앞",Group 2,Group 2,10956,2531,997,2804,9.10%,25.59%
"3628","3628. 역삼1동 주민센터",Group 2,Group 1,10955,891,2767,2348,25.26%,21.43%
"5076","5076. 메이필드호텔앞",Group 2,Group 1,10944,689,5856,1141,53.51%,10.43%
"5876","5876. 에이스하이테크시티 4동 앞",Group 2,Group 1,10934,516,4514,1435,41.28%,13.12%
"4520","4520. 대성유니드아파트",Group 2,Group 2,10927,2279,1598,2696,14.62%,24.67%
"3417","3417.창신3동주민센터",Group 2,Group 2,10906,2036,1405,2536,12.88%,23.25%
"2633","2633.송파학사 옆",Group 2,Group 2,10898,1855,1553,3564,14.25%,32.70%
"2410","2410. 포스코피앤에스타워 (역삼역 3번출구 부근)",Group 2,Group 1,10872,1430,3111,1705,28.61%,15.68%
"1068","1068.명일파출소",Group 2,Group 2,10866,1150,2028,2710,18.66%,24.94%
"2175","2175. 신림동걷고싶은문화의거리입구",Group 2,Group 2,10858,729,1498,3124,13.80%,28.77%
"1806","1806. 에이스하이엔드타워9차 앞",Group 2,Group 1,10856,1272,5238,1307,48.25%,12.04%
"817","817. 삼각지역 4번출구 앞",Group 2,Group 2,10850,1967,1479,3023,13.63%,27.86%
"2920","2920.상계중학교(당현2교사거리)",Group 2,Group 2,10848,1364,1691,3177,15.59%,29.29%
"1016","1016. 해뜨는 주유소옆 리엔파크 109동앞",Group 2,Group 2,10841,1754,1745,2778,16.10%,25.62%
"2276","2276. 영동1교 (양재천근린공원)",Group 2,Group 2,10831,1189,2087,3472,19.27%,32.06%
"2206","2206. 언남초등학교 앞",Group 2,Group 2,10816,2720,1695,2301,15.67%,21.27%
"4084","4084. 도봉동실내스포츠센터",Group 2,Group 2,10806,1602,1596,2620,14.77%,24.25%
"1916","1916. 구로중학교앞",Group 2,Group 2,10796,2179,1678,2727,15.54%,25.26%
"485","485.서울역5번출구",Group 2,Group 1,10784,1872,2855,2090,26.47%,19.38%
"3812","3812. KT관악지점",Group 2,Group 2,10780,1390,1380,2848,12.80%,26.42%
"5090","5090. 대상연구소",Group 2,Group 1,10772,464,5631,977,52.27%,9.07%
"5329","5329. 상계주공15단지 1509동 앞",Group 2,Group 2,10750,2337,1489,2445,13.85%,22.74%
"3529","3529. 어린이대공원정문",Group 2,Group 2,10747,1499,1931,3072,17.97%,28.58%
"4226","4226. 마포프레스티지자이 1",Group 2,Group 2,10746,2721,1484,2577,13.81%,23.98%
"2912","2912.대진고등학교",Group 2,Group 2,10737,781,1611,3357,15.00%,31.27%
"3516","3516. 구의아리수정수센터앞",Group 2,Group 2,10725,3066,1211,2630,11.29%,24.52%
"1639","1639. 희성오피앙",Group 2,Group 2,10723,1556,1770,2952,16.51%,27.53%
"4791","4791. 명동역9번 출구",Group 2,Group 2,10705,1696,2087,2666,19.50%,24.90%
"828","828. 숙대입구역 8번",Group 2,Group 2,10703,888,1905,2899,17.80%,27.09%
"1395","1395.래미안장위포레카운티(102동)",Group 2,Group 2,10703,2094,1425,3073,13.31%,28.71%
"1514","1514. 강북구청 사거리 버스정류소 앞",Group 2,Group 2,10688,839,1836,2647,17.18%,24.77%
"4211","4211. 시석빌딩 앞",Group 2,Group 2,10687,294,1956,3733,18.30%,34.93%
"1196","1196. 서울식물원(문화센터) 건너편",Group 2,Group 1,10682,1993,4003,1250,37.47%,11.70%
"2082","2082.7호선 이수역7번출구",Group 2,Group 2,10674,1100,2286,2538,21.42%,23.78%
"836","836. 현대자동차서비스 앞",Group 2,Group 2,10669,663,2554,3439,23.94%,32.23%
"1690","1690. 도봉운전면허시험장 버스정류장 옆",Group 2,Group 2,10666,1322,1770,2329,16.59%,21.84%
"673","673.안암골벽산아파트(후문)",Group 2,Group 2,10658,1297,1722,2742,16.16%,25.73%
"5335","5335. 하계역 1번 출구",Group 2,Group 2,10653,924,2455,2601,23.05%,24.42%
"445","445.대한상공회의소",Group 2,Group 1,10651,920,3851,1232,36.16%,11.57%
"301","301. 경복궁역 7번출구 앞",Group 2,Group 2,10633,2191,1361,2388,12.80%,22.46%
"5894","5894.영등포세무서",Group 2,Group 1,10628,963,3169,1964,29.82%,18.48%
"3425","3425.광화문 풍림스페이스본 1단지앞",Group 2,Group 2,10620,2696,1307,2423,12.31%,22.82%
"5775","5775. 가락시장역 5번출구",Group 2,Group 1,10615,1435,2442,1987,23.01%,18.72%
"4008","4008. 하계 어린이 공원",Group 2,Group 2,10586,1971,1538,2815,14.53%,26.59%
"1526","1526. 강북종합시장 앞",Group 2,Group 2,10582,1418,1343,2797,12.69%,26.43%
"379","379. 서울역9번출구",Group 2,Group 2,10565,1466,2535,2365,23.99%,22.39%
"3985","3985. 디폴리스 지식산업센터",Group 2,Group 1,10542,811,5841,1195,55.41%,11.34%
"464","464. 삼청동 골목",Group 2,Group 2,10526,1531,1609,2274,15.29%,21.60%
"586","586. 마장동 주민센터",Group 2,Group 2,10523,2800,928,2728,8.82%,25.92%
"637","637. KAIST 경영대학 앞",Group 2,Group 2,10510,846,2163,2281,20.58%,21.70%
"4636","4636. 용산구꿈나무종합타운 앞",Group 2,Group 2,10501,1311,1817,2757,17.30%,26.25%
"640","640. 동대문경찰서 교차로",Group 2,Group 2,10493,2091,1665,2469,15.87%,23.53%
"506","506. 금호 어울림 아파트 앞",Group 2,Group 1,10487,687,4286,1873,40.87%,17.86%
"4350","4350.누리숲어린이공원 앞",Group 2,Group 2,10485,1425,2005,2728,19.12%,26.02%
"3547","3547.상왕십리역 6번 출입구",Group 2,Group 2,10469,911,2272,2758,21.70%,26.34%
"2547","2547. 반포래미안 리오센트",Group 2,Group 2,10468,1750,1832,2869,17.50%,27.41%
"5328","5328.롯데캐슬시그니처아파트 앞",Group 2,Group 2,10466,1967,1556,2519,14.87%,24.07%
"441","441.염천교사거리",Group 2,Group 1,10454,1450,3685,1005,35.25%,9.61%
"1302","1302. 한성대입구역6번출구 뒤",Group 2,Group 2,10454,1943,1529,2549,14.63%,24.38%
"128","128. 신촌역(2호선) 1번출구 옆",Group 2,Group 2,10442,1054,2366,2562,22.66%,24.54%
"4576","4576.보라매sk뷰 108동 앞",Group 2,Group 2,10440,2723,1262,2468,12.09%,23.64%
"2105","2105. 미성동 신림체육센터",Group 2,Group 2,10436,1783,1248,2631,11.96%,25.21%
"4545","4545. 청소년음악센터",Group 2,Group 2,10422,1450,1064,2479,10.21%,23.79%
"3801","3801. 이랜드글로벌R&D센터",Group 2,Group 1,10415,360,5728,863,55.00%,8.29%
"1145","1145. 곰달래 문화복지센터 B",Group 2,Group 2,10410,1278,1355,2927,13.02%,28.12%
"1930","1930. 개봉지구대 개봉치안센터",Group 2,Group 2,10408,2279,1329,2506,12.77%,24.08%
"461","461. 서울경찰청",Group 2,Group 2,10395,2443,1763,1960,16.96%,18.86%
"3718","3718. 번동3단지 버스정류장",Group 2,Group 2,10377,997,1941,2859,18.70%,27.55%
"1469","1469.먹골역 4번출구",Group 2,Group 2,10370,1350,1881,2691,18.14%,25.95%
"1540","1540. 가오리역",Group 2,Group 2,10362,1288,1715,2852,16.55%,27.52%
"1332","1332. 석계역 5번출구 건너편",Group 2,Group 2,10358,985,1731,2857,16.71%,27.58%
"5318","5318. 극동의 푸른별 아파트 뒤(중계4동주민센터 앞)",Group 2,Group 2,10356,2496,1031,2215,9.96%,21.39%
"1339","1339. 삼성전자서비스 성북센터",Group 2,Group 2,10355,1553,1554,2545,15.01%,24.58%
"5506","5506. 월드컵참누리아파트",Group 2,Group 2,10353,2442,1389,2710,13.42%,26.18%
"3505","3505. 신양초교앞 교차로",Group 2,Group 2,10351,1072,1524,3006,14.72%,29.04%
"5764","5764. 한국체육대학교",Group 2,Group 2,10341,649,2224,3036,21.51%,29.36%
"3786","3786. 강서힐스테이트 상가 앞",Group 2,Group 2,10332,1328,1668,2734,16.14%,26.46%
"1468","1468.먹골역 7번 출구",Group 2,Group 2,10327,1107,1673,2745,16.20%,26.58%
"6176","6176. 유광사 여성병원 앞",Group 2,Group 2,10313,1570,1624,2700,15.75%,26.18%
"526","526. 용답토속공원 앞",Group 2,Group 1,10309,1794,3701,1148,35.90%,11.14%
"2315","2315. 봉은사역 5번출구 옆",Group 2,Group 1,10303,1364,2994,2197,29.06%,21.32%
"1464","1464.중화역 4번출구",Group 2,Group 2,10298,1051,1827,2834,17.74%,27.52%
"4463","4463. 방이역 2번 출구",Group 2,Group 2,10239,1876,1638,2585,16.00%,25.25%
"6178","6178. 마스터밸류에이스 지식산업센터",Group 2,Group 1,10230,680,3176,2264,31.05%,22.13%
"1869","1869.롯데캐슬골드파크3차 301동 앞",Group 2,Group 2,10226,3199,1103,1981,10.79%,19.37%
"2655","2655.송이공원",Group 2,Group 2,10223,1777,1514,2863,14.81%,28.01%
"115","115. 마스타 빌딩 앞",Group 2,Group 2,10221,1155,1493,2785,14.61%,27.25%
"440","440. 하늘공원 입구",Group 2,Group 2,10210,273,1736,4993,17.00%,48.90%
"3558","3558.마장동 금호어울림APT앞",Group 2,Group 2,10192,1433,1425,2894,13.98%,28.39%
"4269","4269. 연희IC 남측",Group 2,Group 2,10190,1065,1602,2906,15.72%,28.52%
"4826","4826. 홈플러스 면목점",Group 2,Group 2,10181,1627,1398,2562,13.73%,25.16%
"782","782.서남병원 후문",Group 2,Group 2,10178,2512,1692,2245,16.62%,22.06%
"191","191. 서우빌딩",Group 2,Group 2,10164,1983,1217,2536,11.97%,24.95%
"3103","3103. 홍제삼거리 북측",Group 2,Group 2,10152,1319,1557,2822,15.34%,27.80%
"1217","1217. 송파파인타운 7단지",Group 2,Group 2,10147,1311,1766,2726,17.40%,26.87%
"3207","3207.양남사거리1",Group 2,Group 1,10140,1412,2693,1765,26.56%,17.41%
"3520","3520. 광진경찰서",Group 2,Group 2,10109,2191,1352,2419,13.37%,23.93%
"4860","4860. 가락쌍용2차아파트 103동",Group 2,Group 2,10107,1376,1873,2869,18.53%,28.39%
"3815","3815. 광일빌딩",Group 2,Group 2,10089,1862,1111,2831,11.01%,28.06%
"4123","4123. 배봉초교 교차로",Group 2,Group 2,10082,1593,2240,2472,22.22%,24.52%
"3123","3123.DMC파크뷰자이1단지 110동 앞",Group 2,Group 2,10077,2055,1308,2924,12.98%,29.02%
"353","353. 재동초교 앞 삼거리",Group 2,Group 2,10076,875,2186,2952,21.70%,29.30%
"1828","1828. 독산동 한양수자인아파트 앞",Group 2,Group 2,10066,2855,1272,2138,12.64%,21.24%
"4320","4320. 비석공원",Group 2,Group 2,10056,1227,2374,2755,23.61%,27.40%
"925","925. 불광역 2번출구",Group 2,Group 2,10055,793,2188,2535,21.76%,25.21%
"122","122. 신성기사식당 앞",Group 2,Group 2,10037,1717,1521,2700,15.15%,26.90%
"1719","1719. 신도봉사거리 버스정류장",Group 2,Group 2,10031,1561,1797,2529,17.91%,25.21%
"2606","2606. 위례동주민센터",Group 2,Group 2,10029,2024,1898,2531,18.93%,25.24%
"4133","4133.래미안허브리츠아파트 앞",Group 2,Group 2,10028,1552,1765,2496,17.60%,24.89%
"2390","2390. 구룡마을 입구 (래미안블레스티지 아파트)",Group 2,Group 2,10020,1855,1241,2676,12.39%,26.71%
"5342","5342. 상계공원 입구",Group 2,Group 2,10017,2193,1245,2664,12.43%,26.59%
"4367","4367. kt 행당빌딩 앞",Group 2,Group 2,10010,1030,1579,2705,15.77%,27.02%
"344","344. 성균관대 E하우스 앞",Group 2,Group 2,10002,1760,1323,2354,13.23%,23.54%
"2212","2212.서초현대4차아파트 201동 맞은편",Group 2,Group 2,9986,2077,1275,2695,12.77%,26.99%
"520","520. 상왕십리역 4번 출구 앞",Group 2,Group 2,9981,1514,1913,2225,19.17%,22.29%
"3311","3311.서울대입구역 4번 출구",Group 2,Group 2,9954,579,2076,2585,20.86%,25.97%
"4146","4146.이삭어린이공원",Group 2,Group 2,9952,1723,1877,2596,18.86%,26.09%
"1429","1429. 장안중학교",Group 2,Group 2,9947,1158,1578,2622,15.86%,26.36%
"1734","1734. 쌍문현대1차아파트 108동 앞",Group 2,Group 2,9945,2322,1081,2697,10.87%,27.12%
"2089","2089.사당역10번출구(금강빌딩)",Group 2,Group 2,9939,1073,1608,2582,16.18%,25.98%
"387","387. 훈련원공원주차장 앞",Group 2,Group 2,9927,996,2209,2239,22.25%,22.55%
"4025","4025. 한천교 동편",Group 2,Group 2,9920,1066,1427,3309,14.39%,33.36%
"4147","4147.청량리역광장",Group 2,Group 2,9912,1220,1948,2715,19.65%,27.39%
"4370","4370. 성동교 사거리",Group 2,Group 1,9904,494,3407,1979,34.40%,19.98%
"2550","2550.양재동 꽃시장 건너편",Group 2,Group 1,9901,1565,2487,1983,25.12%,20.03%
"1403","1403. 중화빌딩 앞 (동부시장)",Group 2,Group 2,9897,685,1931,2877,19.51%,29.07%
"4573","4573. 두산위브아파트",Group 2,Group 2,9880,3008,1231,2651,12.46%,26.83%
"4653","4653. 불광역 9번 출구 맞은편",Group 2,Group 2,9873,969,1637,2490,16.58%,25.22%
"1170","1170. 강서구보건소",Group 2,Group 2,9850,1188,1518,2471,15.41%,25.09%
"4105","4105. 서울교통공사사거리 교통섬",Group 2,Group 1,9847,1612,2559,1634,25.99%,16.59%
"5753","5753. 호반써밋",Group 2,Group 2,9845,1781,1670,2502,16.96%,25.41%
"4603","4603. 한강GS에클라트 건너편 교통섬",Group 2,Group 2,9841,1726,2181,2232,22.16%,22.68%
"2241","2241.양재전화국 사거리",Group 2,Group 2,9826,1373,2473,2396,25.17%,24.38%
"2420","2420.학여울역 사거리(LG베스트샵 앞)",Group 2,Group 2,9816,3061,1915,2288,19.51%,23.31%
"4846","4846. 상봉동양엔파트 앞",Group 2,Group 2,9795,1245,1243,2487,12.69%,25.39%
"5759","5759. 풍납근린공원",Group 2,Group 2,9784,1015,2093,2599,21.39%,26.56%
"5330","5330. 구립수락노인종합복지관",Group 2,Group 2,9782,2005,1579,2344,16.14%,23.96%
"4212","4212. 한화오벨리스크 앞",Group 2,Group 2,9776,2395,1255,2500,12.84%,25.57%
"4117","4117. 휘경119안전센터 앞",Group 2,Group 2,9765,1174,1795,2551,18.38%,26.12%
"285","285. 콤텍시스템 앞",Group 2,Group 1,9747,1184,2426,2180,24.89%,22.37%
"408","408. LG CNS앞",Group 2,Group 1,9744,719,3442,1133,35.32%,11.63%
"1553","1553.서울북부고용노동지청",Group 2,Group 2,9738,1182,1519,2695,15.60%,27.68%
"105","105. 합정역 5번출구 앞",Group 2,Group 2,9733,548,2061,2892,21.18%,29.71%
"1340","1340. 광운초등학교 앞",Group 2,Group 2,9728,3044,1121,2141,11.52%,22.01%
"4710","4710. 자교교회 앞",Group 2,Group 2,9727,1790,1387,2541,14.26%,26.12%
"3420","3420. 성균관대입구 사거리 B",Group 2,Group 2,9725,894,1605,2597,16.50%,26.70%
"4485","4485. 잠실나루역 고가하부",Group 2,Group 2,9718,784,2251,2635,23.16%,27.11%
"617","617. 청솔우성아파트 앞",Group 2,Group 2,9715,2428,951,2444,9.79%,25.16%
"4689","4689. 은평서해그랑블아파트앞",Group 2,Group 2,9707,2158,1282,2513,13.21%,25.89%
"4962","4962.고덕비즈밸리 디엠스퀘어 앞",Group 2,Group 1,9689,197,4658,1239,48.08%,12.79%
"195","195. 모래내고가차도",Group 2,Group 2,9683,1704,1258,2543,12.99%,26.26%
"3552","3552.서울숲 공영주차장앞",Group 2,Group 2,9673,216,1498,4636,15.49%,47.93%
"6180","6180.양천향교역 3번출구",Group 2,Group 2,9660,1888,1775,2287,18.37%,23.67%
"1833","1833. 독산역 1번출구 A",Group 2,Group 2,9657,3034,1477,1766,15.29%,18.29%
"5313","5313. 중계주공2단지 앞",Group 2,Group 2,9656,1362,1235,2918,12.79%,30.22%
"156","156. 서울서부지방법원 앞",Group 2,Group 1,9651,1038,2370,2059,24.56%,21.33%
"3707","3707. 드래곤타워 앞",Group 2,Group 2,9643,1627,1441,2431,14.94%,25.21%
"430","430. 장충동먹자골목 앞",Group 2,Group 2,9620,1379,1841,2183,19.14%,22.69%
"3963","3963. 에이스 하드웨어(시흥대로 396) 앞",Group 2,Group 2,9611,2718,1320,1977,13.73%,20.57%
"251","251. 서울지방병무청 버스정류장",Group 2,Group 2,9599,1083,1674,2483,17.44%,25.87%
"2514","2514.사평역 2번출구",Group 2,Group 2,9591,1838,1825,2265,19.03%,23.62%
"2654","2654.올림픽선수촌아파트 136동 앞",Group 2,Group 2,9591,1537,1408,2453,14.68%,25.58%
"394","394. 경희궁 자이 3단지",Group 2,Group 1,9589,2807,2101,1599,21.91%,16.68%
"5310","5310. 목련아파트",Group 2,Group 2,9588,2434,1202,1938,12.54%,20.21%
"2427","2427.개포고등학교 정문앞",Group 2,Group 2,9584,1364,1590,2423,16.59%,25.28%
"3816","3816. 관악 GSfresh",Group 2,Group 2,9580,2065,1387,2331,14.48%,24.33%
"982","982. 녹번초등학교(서오릉로)",Group 2,Group 2,9574,1515,1519,2491,15.87%,26.02%
"5758","5758. 올림픽선수기자촌아파트 123동 근처",Group 2,Group 2,9566,1438,1224,2790,12.80%,29.17%
"390","390. 충무로역 1번출구",Group 2,Group 1,9565,990,2310,1991,24.15%,20.82%
"3551","3551.성동도로사업소",Group 2,Group 1,9564,659,2782,1166,29.09%,12.19%
"4274","4274. 신촌 파랑고래 입구",Group 2,Group 2,9558,517,1512,2853,15.82%,29.85%
"332","332. 을지로2가 사거리 남측",Group 2,Group 1,9537,1646,1985,1344,20.81%,14.09%
"4544","4544.경창시장",Group 2,Group 2,9529,2335,1555,2191,16.32%,22.99%
"4902","4902. 구역삼세무서 교차로",Group 2,Group 1,9528,1344,2687,1480,28.20%,15.53%
"4842","4842. 면목라온프라이빗 아파트",Group 2,Group 2,9522,2441,1008,2541,10.59%,26.69%
"1060","1060. 천일초교 사거리",Group 2,Group 2,9520,1345,1671,2550,17.55%,26.79%
"1659","1659. 중계동 을지중학교",Group 2,Group 2,9519,1459,1078,2699,11.32%,28.35%
"930","930. 구 서부경찰서 건너편",Group 2,Group 2,9508,1575,1853,2415,19.49%,25.40%
"1560","1560. 도봉세무서 앞",Group 2,Group 2,9499,804,1688,2463,17.77%,25.93%
"813","813. 삼각지역 3번출구",Group 2,Group 2,9498,646,1376,3135,14.49%,33.01%
"5067","5067. 주원 리젠트 앞",Group 2,Group 2,9497,2241,1083,2209,11.40%,23.26%
"3543","3543. 세종대학교(학술정보원)",Group 2,Group 1,9494,376,2211,1540,23.29%,16.22%
"1247","1247. 문정 법조단지11",Group 2,Group 2,9491,1028,2139,2565,22.54%,27.03%
"2301","2301. 현대고등학교 건너편",Group 2,Group 2,9467,412,1962,3231,20.72%,34.13%
"4216","4216. 망원정 앞",Group 2,Group 2,9464,2155,1398,2801,14.77%,29.60%
"2170","2170. 조원동 강남힐병원",Group 2,Group 2,9463,2303,1060,2469,11.20%,26.09%
"714","714. 한국SGI 양천문화회관 앞",Group 2,Group 2,9460,2177,1545,2216,16.33%,23.42%
"452","452. 동대문 종합시장 버스정류장",Group 2,Group 2,9452,1184,1748,2034,18.49%,21.52%
"4552","4552. 코레일유통본사",Group 2,Group 1,9434,1832,2594,915,27.50%,9.70%
"4175","4175. 대방역2번출구",Group 2,Group 2,9432,1092,1870,2213,19.83%,23.46%
"2009","2009. 보라매역 8번출구",Group 2,Group 2,9423,890,1704,2511,18.08%,26.65%
"1402","1402. 금란주차장 앞",Group 2,Group 2,9420,1400,1204,2439,12.78%,25.89%
"1976","1976. 남구로역 5번 출입구 앞",Group 2,Group 2,9419,2051,1682,1617,17.86%,17.17%
"3912","3912. 삼호아파트 앞",Group 2,Group 2,9413,1021,1337,2545,14.20%,27.04%
"4423","4423.현대백화점 미아점",Group 2,Group 2,9390,1784,1101,2872,11.73%,30.59%
"950","950. 구산역 2번 출구 예일여고 버스정류장",Group 2,Group 2,9349,1275,1531,2671,16.38%,28.57%
"1750","1750. 창포원 남쪽 입구",Group 2,Group 2,9348,613,1554,3072,16.62%,32.86%
"4095","4095. 방학브라운스톤아파트",Group 2,Group 2,9336,1363,1457,2288,15.61%,24.51%
"3618","3618. 서울율현초교 삼거리",Group 2,Group 2,9317,1681,1457,2339,15.64%,25.10%
"750","750. 연의근린공원 건너편",Group 2,Group 2,9314,2661,1127,2242,12.10%,24.07%
"4518","4518. 청기와빌딩",Group 2,Group 2,9312,1617,1612,2399,17.31%,25.76%
"1239","1239. 문정 법조단지3",Group 2,Group 1,9309,2090,2281,1869,24.50%,20.08%
"4104","4104. 외대앞역 교차로",Group 2,Group 2,9308,956,1557,2669,16.73%,28.67%
"720","720. 서울강월초등학교 앞",Group 2,Group 2,9294,1489,1323,2409,14.23%,25.92%
"1336","1336. 성북3교 위",Group 2,Group 2,9284,1781,1180,2449,12.71%,26.38%
"591","591. 건국대학교 (행정관)",Group 2,Group 1,9278,456,1929,1211,20.79%,13.05%
"4800","4800. 필동 삼거리",Group 2,Group 1,9271,1050,2026,1473,21.85%,15.89%
"3008","3008.DMC역7번출구",Group 2,Group 1,9268,2889,2232,1180,24.08%,12.73%
"1437","1437. 늘푸른공원 앞",Group 2,Group 2,9265,1697,1558,2273,16.82%,24.53%
"1139","1139. 용문사 버스정류장",Group 2,Group 2,9264,2153,1078,2007,11.64%,21.66%
"1346","1346. 길음8골어린이공원 옆",Group 2,Group 2,9259,1622,1045,2491,11.29%,26.90%
"1754","1754. 창동시장입구 사거리",Group 2,Group 2,9259,816,1569,2525,16.95%,27.27%
"4329","4329. SC제일은행 양재동지점 앞",Group 2,Group 1,9240,2064,2071,1776,22.41%,19.22%
"1289","1289. 풍납토성 서성벽터B",Group 2,Group 2,9227,1574,2095,1993,22.71%,21.60%
"665","665.이문동 쌍용아파트 정문",Group 2,Group 2,9226,2081,1152,2591,12.49%,28.08%
"2317","2317. 삼성도로공원",Group 2,Group 2,9213,520,2407,2780,26.13%,30.17%
"1454","1454. 한국전력공사(동대문 중랑지사)",Group 2,Group 2,9207,1348,1325,2289,14.39%,24.86%
"2353","2353. 강남구청역 2번출구 뒤",Group 2,Group 1,9206,930,2476,2023,26.90%,21.97%
"282","282. 신한은행 대림동지점",Group 2,Group 2,9204,1377,1384,2309,15.04%,25.09%
"4116","4116. 이문e편한세상아파트 앞",Group 2,Group 2,9167,1525,1549,2320,16.90%,25.31%
"4640","4640. 원효로2가 교차로",Group 2,Group 2,9166,1299,1675,2442,18.27%,26.64%
"3115","3115.북아현 치안센터 인근",Group 2,Group 2,9164,2018,998,2565,10.89%,27.99%
"1214","1214. 오금역 7번 출구 인근",Group 2,Group 2,9156,1963,1402,1951,15.31%,21.31%
"391","391. 시립미술관",Group 2,Group 1,9137,1481,2308,1697,25.26%,18.57%
"2389","2389. 경기여자고등학교 후문 (삼성로3길 입구)",Group 2,Group 2,9128,1908,1146,2366,12.55%,25.92%
"4394","4394.서울시립24시간게스트하우스",Group 2,Group 1,9128,874,3187,1648,34.91%,18.05%
"5152","5152.이스트폴 105동 방면 입구",Group 2,Group 2,9114,1318,1434,2696,15.73%,29.58%
"2237","2237.서울남부터미널 대합실 입구",Group 2,Group 1,9111,1176,2424,2111,26.61%,23.17%
"2652","2652.송파 레미니스1단지 102동 앞",Group 2,Group 2,9108,2143,1617,2187,17.75%,24.01%
"2325","2325. 대치삼성아파트 앞 교차로",Group 2,Group 2,9105,548,1717,2595,18.86%,28.50%
