대여소번호,대여소명,클러스터그룹,전체이용건수,평일출근건수,평일퇴근비중(%),주말비중(%)
"1195","1195. 코오롱One&Only타워",Group 1,25022,903,47.79%,6.30%
"1132","1132. 등촌역 7번출구",Group 1,24986,5138,15.48%,22.53%
"4575","4575. 대림동 e편한세상영등포아델포레",Group 1,24975,4529,14.09%,24.32%
"1503","1503. 강북구청사거리(수유역 8번출구)",Group 1,24948,1514,20.25%,26.45%
"1716","1716. 창동역 1번출구 건너편",Group 1,24886,1828,24.36%,26.31%
"342","342. 대학로 마로니에공원",Group 1,24850,3329,20.36%,25.61%
"1643","1643. 태릉입구역 8번출구",Group 1,24810,1643,20.87%,28.28%
"2255","2255. 양재시민의숲역 1번출구",Group 1,24789,5795,22.89%,20.42%
"1076","1076. 천동초교입구사거리 버스정류장(십자성마을 방면)",Group 1,24714,3835,16.24%,27.81%
"2746","2746.수명산파크 4단지 411동 앞",Group 1,24711,7850,10.41%,22.78%
"956","956. 응암시장교차로",Group 1,24670,5580,13.42%,24.93%
"421","421. 마포구청 앞",Group 1,24668,3760,18.94%,19.79%
"3757","3757. 신방화역 6번출구",Group 1,24652,3363,23.27%,25.09%
"1901","1901. 신도림동주민센터 앞",Group 1,24615,5327,16.86%,23.02%
"505","505. 자양사거리 광진아크로텔 앞",Group 1,24600,2170,17.48%,26.28%
"1636","1636. 상계주공2단지 버스정류장 옆",Group 1,24558,2984,19.35%,23.66%
"1215","1215. 올림픽공원역 1번출구 앞",Group 1,24511,2731,20.13%,25.76%
"905","905. 구파발역 2번출구",Group 1,24509,1466,23.36%,28.77%
"3671","3671. 둔촌동역교차로",Group 1,24502,3313,17.44%,25.37%
"1531","1531. 미아사거리 1번 출구",Group 1,24478,1652,18.38%,27.19%
"588","588. 뚝섬 유원지역",Group 1,24470,1658,19.19%,31.41%
"2741","2741.마곡수명산파크5-6단지",Group 1,24452,6385,11.41%,22.00%
"3794","3794. 안양천합수부(현대3차아파트)",Group 1,24446,5011,12.08%,32.02%
"4598","4598. 오목교 동측 지하보도",Group 1,24418,4599,17.32%,26.37%
"3966","3966. 독산역1번출구 B",Group 1,24382,8483,22.60%,13.03%
"3756","3756. 마곡힐스테이트 정문",Group 1,24352,7092,12.32%,25.19%
"2618","2618. 삼전역 1번출구",Group 1,24351,3889,17.80%,25.83%
"1988","1988. 고척LIGA아파트 앞",Group 1,24321,6741,12.99%,24.31%
